# NER词典 - 从生产数据库自动生成
# 格式: word	LABEL (BRAND/CATEGORY/MODIFIER/ATTRIBUTE)
# 品牌: 54911 条 | 品类: 10918 条 | 属性: 77370 条 | 修饰词: 31 条
# 总计: 96244 条

倍舒特	BRAND
多美声	BRAND
DuoMSera	BRAND
姬芮	BRAND
ZA	BRAND
凯锐思	BRAND
秋叶原	BRAND
CHOSEAL	BRAND
龙膜	BRAND
Llumar	BRAND
epiphone	BRAND
买奇酷	BRAND
兰雀	BRAND
finish	BRAND
相思鸟	BRAND
lovebird	BRAND
宝优妮	BRAND
都小秀	BRAND
侑家良品	BRAND
福安特劳	BRAND
莫高	BRAND
MOGAO	BRAND
东鹏特饮	BRAND
探路者	BRAND
TOREAD	BRAND
希宝	BRAND
Sheba	BRAND
富士通	BRAND
Fujitsu	BRAND
七田真	BRAND
憨憨乐园	BRAND
西勒奇	BRAND
SCHLAGE	BRAND
早安	BRAND
Good morning	BRAND
岡祈	BRAND
Gangqi	BRAND
冰峰	BRAND
ICEPEAK	BRAND
佳洁士	BRAND
CREST	BRAND
超霸	BRAND
GP	BRAND
POLICE	BRAND
云腾	BRAND
YUNTENG	BRAND
掌上明珠家居	BRAND
M&Z	BRAND
先锋连	BRAND
摆渡人	BRAND
驰尚	BRAND
舒福佳	BRAND
shufujia	BRAND
MVE	BRAND
TOTO	BRAND
卡卡铂	BRAND
洁丽雅	BRAND
Grace	BRAND
威雀	BRAND
百事	BRAND
PEPSI	BRAND
华美	BRAND
L&S	BRAND
斯伯丁	BRAND
SPALDING	BRAND
花漾星球	BRAND
LOVE BUAUTY & PLANET	BRAND
健将	BRAND
丰原食品	BRAND
BBCA FOOD	BRAND
酩悦	BRAND
万事好	BRAND
Raynal	BRAND
好事达	BRAND
淘淘氧棉	BRAND
特匠	BRAND
Craftsman Experts	BRAND
SOMITA	BRAND
稻纯	BRAND
天琴	BRAND
ESCASE	BRAND
G.SKILL	BRAND
菊乐	BRAND
JULE	BRAND
奇晟铭源	BRAND
牛牌	BRAND
Cow	BRAND
wlab	BRAND
w.lab	BRAND
艺姿	BRAND
全讯	BRAND
TRANCENT	BRAND
台电	BRAND
TECLAST	BRAND
满婷	BRAND
MANTING	BRAND
Withidea	BRAND
東東家居	BRAND
DONGDONGHOME	BRAND
